id,qid1,qid2,sentence1,sentence2,is_duplicate
611,1220,1221,A woman is cracking eggs into a bowl.,A woman is cracking eggs.,1
612,1222,1223,A person is playing the keyboard.,A boy is playing a key-board.,1
613,1224,1225,A boy whacks a man with a sword.,A boy spanks a man with a plastic sword.,1
614,1226,1227,A person is slicing a carrot into pieces.,A person is cutting an onion into pieces.,0
615,1228,1229,A man sliced through a bunch of water bottles with a knife.,A man is slicing a line of water bottles with a knife,1
616,1230,1231,A man is writing in a book.,A man is writing on a paper.,1
617,1232,1233,A woman is slicing a garlic.,A woman is slicing a big pepper.,0
618,1234,1235,A person is making a bed.,A person is eating at a table.,0
619,1236,1237,A man is playing keyboard.,A man is playing guitar.,0
620,1238,1239,A man is playing a violin.,A man is playing a harp.,0
621,1240,1241,The woman is smoking.,The man is walking.,0
622,1242,1243,The man erased what the other man had on the board.,The man erased the work on the board.,1
623,1244,1245,A man is riding a motorcycle.,A man is riding a motorcycle through a town.,1
624,1246,1247,A man is riding a motorcycle on the highway.,A man is riding a motorcycle.,1
625,1248,1249,A woman is slicing up some meat.,A woman is slicing some onions.,0
626,1250,1251,A woman cuts up broccoli.,A woman is cutting broccoli.,1
627,1252,1253,A man is playing a piano.,A woman is peeling a potato.,0
628,1254,1255,Someone is slicing a tomato.,Someone is slicing fruit.,1
629,1256,1257,A woman is dancing in a cage.,A woman is dancing.,1
630,1258,1259,A woman is swimming.,A man is spitting.,0
631,1260,1261,A man is running.,A man is mooing.,0
632,1262,1263,The man is playing the guitar.,The man played his guitar.,1
633,1264,1265,A cat stares into the camera.,A cat addresses the camera.,1
634,1266,1267,The baby is laughing and crawling.,A baby is laughing and crawling on the floor.,1
635,1268,1269,A woman is shooting a gun.,A woman shoots a shotgun.,1
636,1270,1271,A woman is dancing in the rain.,A woman is dancing in railway station.,0
637,1272,1273,A woman is dancing.,A woman is exercising.,0
638,1274,1275,A kid is playing an instrument.,A young boy is playing a wind instrument.,1
639,1276,1277,Someone slices a bottle with a sword.,A man breaks a bottle with a sword.,1
640,1278,1279,A woman is cutting an apple.,A woman is cutting potato.,0
641,1280,1281,The man is peeling an apple.,A man peels an apple.,1
642,1282,1283,The man is playing the guitar.,The man is playing with a skull.,0
643,1284,1285,An animal is walking on the ground.,A solenodon is walking along the ground.,1
644,1286,1287,A little girl is playing a grand piano on stage.,A little girl is playing the piano.,1
645,1288,1289,a group of people dancing,a group of people dancing,1
646,1290,1291,A man plays a guitar.,A woman is playing guitar.,0
647,1292,1127,A cat swings on a ceiling fan.,A cat is spun around by a ceiling fan.,1
648,1293,1294,A woman is playing the flute.,A girl is playing a flute.,1
649,1295,1296,The woman is dicing onions.,A woman is cutting an onion.,1
650,1297,1298,A monkey is brushing a bull dog.,A monkey brushes a dog.,1
651,1299,1300,A woman is slicing a onion.,A woman is cutting a potato.,0
652,1301,1302,A man is playing the piano.,A woman is playing a guitar.,0
653,1303,1304,A woman is washing her hands.,A woman is straightening her hair.,0
654,1305,1306,A woman fires a shotgun.,A woman is shooting a gun.,1
655,1307,1308,A man is eating a bowl of cereal.,The man is eating cereal.,1
656,1309,1310,A woman is bathing into bath-tub.,A woman is taking a bath.,1
657,1311,1312,A motorcyclist crashes on his motorcycle.,A person crashes on a motorcycle.,1
658,1313,1314,A man is dangling a mouse near a snake.,A man is feeding a mice to a snake.,1
659,1315,1316,A man and a woman are walking in the woods.,A man and woman are walking through the jungle.,1
660,1317,1318,A person pours some rice pudding into a bowl.,The lady poured the rice pudding into a bowl.,1
661,1319,1320,A man stares out a window.,A man looks out the window.,1
662,1321,1322,A woman is firing a rifle.,A woman is cutting a lemon.,0
663,1323,1324,A man is eating a banana.,Someone is peeling a banana.,1
664,1325,1326,The men are performing on stage.,The comedic mimes performed on stage.,1
665,1327,1328,A cartoon woman dives into a pool.,A cartoon woman is diving off a board.,1
666,1329,1330,The lady put the baby in a trashcan.,A woman puts a baby in a trash can.,1
667,1331,1332,Someone is frying meat.,Someone is playing paino.,0
668,1333,1334,A man is rapidly chopping some mushrooms using a knife.,A person is quickly chopping mushrooms with a knife.,1
669,1335,1336,A woman is adding ingredients to a bowl.,A woman is cracking three eggs into a bowl.,1
670,1337,1338,A skateboarder does tricks on a half-pipe.,A man skateboards on a half pipe.,1
671,1339,1340,A man is speaking on a stage.,A man is speaking at a podium.,1
672,1341,1342,A man is playing a guitar.,A man in a hat is playing a harp.,0
673,1343,1344,A man is playing on his keyboard.,A man is playing a guitar.,0
674,1345,1346,A person is cutting a potato.,A person is slicing a shallot.,0
675,1347,1348,A man is dancing on the ceiling of a room.,A man is dancing upside-down on the ceiling.,1
676,1349,1350,Two men are dancing.,Two women are shopping.,0
677,1351,1352,Someone is seasoning eggs.,Someone is seasoning two raw eggs in a bowl.,1
678,1353,1354,A man is swinging in a rope.,A gibbon is swinging in the trees.,0
679,1355,1356,A man is cutting tomatoes.,A woman is cutting broccoli.,0
680,1357,1358,A woman is boiling shrimp.,A woman is combing her hair.,0
681,1359,1360,A man cuts a potato.,A man is slicing a potato.,1
682,1361,1362,A man is dancing on the road.,A man is dancing.,1
683,1363,1364,The deer jumped over the fence.,A deer jumps over a cyclone fence.,1
684,1365,1366,A girl dances in the rain.,A woman is dancing in the rain.,1
685,1367,1368,A woman is writing a letter.,A woman is sitting at a desk.,0
686,1369,1370,A gorilla is playing the drums.,A monkey is playing drums.,1
687,1371,1372,A woman is riding on a horse.,A woman is picking tomatoes.,0
688,1373,1374,The boy cut the grass by the curb with scissors.,A boy cuts grass with scissors.,1
689,1375,1376,A man with glasses is talking.,A man in a library is talking.,1
690,1377,1378,A woman is cutting some flowers.,A woman is cutting broccoli.,0
691,1379,1380,A person is walking down a stone path.,A man is walking down a sidewalk.,1
692,1381,1382,A man plays the keyboard with his nose.,The man is playing the piano with his nose.,1
693,1383,1384,A man is playing guitar.,A cat is playing.,0
694,1385,1386,A animal is eating.,The animal is hopping.,0
695,1387,1388,A man is lifting weights.,A man is lifting a barbell.,1
696,1389,1390,A man is running with a bus.,A man runs with a truck.,1
697,1391,1392,A man is climbing a rope.,A man is sitting on a rock.,0
698,1393,1394,A cat is playing the piano.,A cat is licking its paw.,0
699,1395,1396,A woman is dancing in the rain.,A woman is adding oil to a dish.,0
700,1397,1398,Men are running a race.,Racers are running down a track.,1
701,1399,1400,A man is cutting tomatoes into pieces.,A woman is cutting potatoes.,0
702,1401,1402,A man is playing a flute.,A woman is applying eye liner.,0
703,1403,1404,A woman is cutting potatoes.,A woman is slicing carrots.,0
704,1189,1405,A chicken is pecking at a dead mouse.,A rooster pecks at a dead mouse.,1
705,1406,1407,The woman is thinly slicing a cucumber.,The woman is slicing a tomato.,0
706,1408,1409,A person is slicing a bread pieces.,A man is slicing bread.,1
707,1410,1411,A woman is cutting a squash.,A woman is cutting big pepper.,0
708,1412,1413,A woman is adding oil on fishes.,A woman is riding a horse.,0
709,1414,1415,A woman is grating carrots.,A woman is coating a pork chop.,0
710,1416,1417,Someone is cleaning a animal.,A woman is cleaning a shrimp.,1
711,1418,1419,A man is talking on the phone.,A man is talking.,1
712,1420,1421,A woman is smoking.,A woman is making some food.,0
713,1422,1423,A man laying down and shooting a gun,A man laying down and shooting a gun,1
714,1424,1425,A man is being put into an abulance.,A man is pouring pasta onto a plate.,0
715,1426,1427,A man is diving into a swimming pool.,A man is singing into a microphone.,0
716,1428,1429,A man is firing a shot gun.,A man shoots a shotgun.,1
717,1430,1431,A man playing the guitar.,A man is playing a flute.,0
718,1432,1433,A man is peeling potato.,A man is playing a guitar.,0
719,1434,1435,The woman is riding a horse.,A man is riding a horse in an arena.,0
720,1436,1437,An airplane moves along a runway.,A plane is landing on a runway.,1
721,1438,1439,A woman is slipping in the water-tub.,A woman is lying in a raft.,1
722,1440,1441,A man is mowing a lawn.,A man is mixing.,0
723,1442,1443,A woman is peeling a potato.,A woman is hitting a man.,0
724,1444,1445,A man is playing piano.,A man is laying on the ground.,0
725,1446,1447,A woman is doing ballet.,A woman is riding on a horse.,0
726,1448,1449,A woman is cutting an onion.,A woman is rowing a boat.,0
727,1450,1451,A woman is stirring rice in a pot.,Someone is putting rice in a pan.,0
728,1452,1453,A woman puts slabs of meat in a pan.,A man puts pieces of meat into a plastic bag.,0
729,883,1454,The boy played his trumpet.,A boy is playing the trumpet.,1
730,1455,1456,A person is riding a horse.,A man is riding a motorcycle.,0
731,1457,1458,A woman is slicing an onion.,A woman is cutting a carrot.,0
732,1459,1460,A man is slicing vegetables.,A woman is slicing a potato.,1
733,1461,1462,A cat is playing.,A woman is playing flute.,0
734,1463,1464,A man is riding a bicycle.,A man is riding a bicycle around a parking lot.,1
735,1465,1466,A band is performing on a stage.,A band is playing and singing on a stage.,1
736,1467,1468,The woman is slicing fish cake.,The woman is riding a horse.,0
737,1469,1470,A man is eating bread.,A man is playing flute.,0
738,1471,1472,A woman is cooking shrimp.,A woman is dancing.,0
739,1473,1474,A woman is dancing.,A woman is slicing ginger.,0
740,1475,1476,A woman tosses a cat in the air,A woman tosses a cat in the air,1
741,1477,1478,A big turtle is walking.,The tortoise is walking.,1
742,1479,1480,A man is burning a flag.,A man is shooting a gun.,0
743,1481,1482,The man is pushing the van.,The woman is singing.,0
744,1483,1484,A man is eating wood.,A man is adding oil to car.,0
745,1485,1486,A dog is speaking to the camera.,A dog is eating some water melon.,0
746,1487,1488,A man is putting two paper towels on a paper plate.,A man is putting papers on a dish.,1
747,1489,1490,A man and woman are walking.,A man and woman walking hold each other.,1
748,1491,1492,A man is cutting a rope with a sword.,The man sliced through a thick rope with a sword.,1
749,1493,1494,The man is singing and playing the guitar.,A man is playing a guitar.,1
750,1495,1496,A man is cutting a paper.,A person is tearing paper.,1
751,1497,1498,A man is dancing.,A rat is running.,0
752,1499,1500,Two boys are talking on the phone.,A woman is talking on a telephone.,0
753,1501,1502,A man is playing guitar.,A woman is peeling a tuber.,0
754,1503,1504,A woman is slicing an onion.,A women slicing lemons.,0
755,1505,1506,A woman is riding a horse.,A man is running on rope.,0
756,1507,1508,A man is playing soccer.,A man is drawing some figures.,0
757,1509,1510,A woman is peeling an orange.,A man is playing a flute.,0
758,1511,1512,Someone is cracking an egg open.,A man is breaking an egg.,1
759,1513,1514,A man is cutting a snake to cook.,A woman is cutting meat.,1
760,1515,1516,A woman is scraping a carrot.,A man is striking clay pots.,0
761,1517,1518,A man and woman are Bollywood dancing.,A man an woman are dancing in the rain.,1
762,1519,1520,A woman is cutting flowers.,A man is holding huge sunflowers.,0
763,1521,1522,The man danced in the diner.,The bomb exploded in the desert.,0
764,1523,1524,American flag is waving.,A American flag is blowing in the wind.,1
765,1525,1526,A lion is walking in an enclosed area.,A lion is walking around.,1
766,1527,1528,A woman is slicing a lemon.,A man is showing a bread.,0
767,1529,1530,A woman is playing the flute.,A woman is slicing some tuna.,0
768,1531,1532,The dog is barking at the toy.,A dog is barking at an electronic toy duck.,1
769,1533,1534,A woman is adding an egg and stirring.,A woman is mixing an egg in a bowl.,1
770,1535,1536,A woman covers a piece of meat with flour.,A woman is seasoning a piece of meat.,1
771,1537,1538,A white cat perched on a small wooden cabinet is looking outside the window.,A cat,0
772,1539,1540,A man does floor exercises.,A man is exercising.,1
773,1541,1542,A man is slicing a potatoe.,A man is peeling a banana.,0
774,1543,1544,Someone is playing piano.,A person is playing a keyboard piano.,1
775,1545,1546,The woman is putting makeup on the man.,A woman is painting the face of a man.,1
776,1547,1548,The woman droppped eggplant into the pan.,A woman puts chopped eggplant into a skillet.,1
777,1549,1550,A man plays a trumpet.,A man is playing a musical instrument.,1
778,1551,1552,A woman is slicing a lemon.,A woman,0
779,1553,1554,A tiger trys to climb the wall.,A lion is trying to climb up over a wall.,0
780,1555,1556,A man is preparing a hanging rope.,A man is tying a noose.,1
781,1557,1558,A woman dances on a stage.,A woman is dancing.,1
782,1559,1560,The girl is riding the horse.,The girl is spraying the plants with water.,0
783,1561,1562,A person is frying.,A person is peeling a potato.,0
784,1563,1564,A man is shooting a pistol.,A woman is chopping garlic.,0
785,1565,1566,A woman is swinging her arms.,A woman is slicing an onion.,0
786,1567,1568,A man is walking outside.,A man is dancing.,0
787,1569,1570,A man dries his hands.,A woman fixes her hair.,0
788,1571,1572,A soccer player is kicking the soccer ball into the goal from a long way down the field.,A soccer player kicks the ballinto the goal.,1
789,1573,1574,A girl is playing the piano.,A little girl is playing a grand piano on stage.,1
790,1575,1576,A man is drawing some figures.,A man is drawing on a digital dry erase board.,1
791,1577,1578,The monkey is hanging from the trees.,The monkey swung from branch to branch.,1
792,1579,1580,Some children are jumping on Trampoline.,Two boy are playing on a trampoline.,1
793,1581,1582,A woman with a knife is slicing a pepper.,A women slicing green pepper.,1
794,1583,1584,A man is adding oil to car.,A man is putting anti-freeze into a car.,1
795,1585,1586,A man is slicing a carrot by a machine.,A man is climbing a rope.,0
796,1587,1588,A boy played a keyboard.,A person is playing a piano keyboard.,1
797,1589,1590,A cat is playing with an antenna.,A boy is playing in the mud.,0
798,1591,1592,A woman is slicing pumpkin.,A person is slicing cantaloupe.,1
799,1593,1594,The people threw the dummy over the cliff edge.,Some people are throwing a dummy off a cliff.,1
800,1595,1596,A gun is being fired.,A potato is being peeled.,0
801,1597,1598,A woman is cutting a plastic sheet.,A woman is playing a guitar on streets.,0
802,1599,1600,A woman cuts a pineapple.,A woman is slicing a pineapple into pieces.,1
803,1601,1602,A woman is adding spices on a meat.,A woman adds ingredients to beef.,1
804,1603,1604,A person is adding oil in the pan.,The cook pouring oil into the pan.,1
805,1605,1606,A cook seasons some dough.,A man is seasoning some dough in a pan.,1
806,1607,1608,A boy is running on a beach.,Two boys are playing in the beach.,0
807,1609,1610,A baby monkey scratches itself.,The monkey scratched his tummy.,1
808,1611,1612,A boy is riding a bike on a gate.,A woman is riding a horse.,0
809,1613,1614,A man is doing a card trick.,A man is squeezing water.,0
810,1615,1616,A man is playing the piano.,Someone is playing guitar.,0
811,1617,1618,A man is mowing grass.,A guy is mowing the lawn.,1
812,1619,1620,A person is mixing water and flour.,A person is hitchhiking on a road.,0
813,1621,1622,The two dogs were in the pen.,The cowboy rode his horse in the desert.,0
814,1623,1624,A man is riding on one wheel on a motorcycle.,A person is performing tricks on a motorcycle.,1
815,1625,1626,A cat opens a drawer and climbs inside.,A big cat opens a plastic drawer with his paws and then hops inside.,1
816,1627,1628,A man is opening a box using a knife.,A man is playing a guitar.,0
817,1629,1630,A man is kicking oots of water.,A woman is slicing a red pepper.,0
818,1631,1632,A man is eating.,A woman is rock climbing.,0
819,1633,1634,A puppy is repeatedly rolling from side to side while on its back.,A dog is rolling from side to side.,1
820,1635,1636,A young boy sings and plays a guitar.,A kid plays the guitar.,1
821,1637,1638,The woman is peeling lemon.,The man is balancing on the wire.,0
822,1639,1640,A man is playing the trumpet.,Someone is playing with a toad.,0
823,1641,1642,A dog is looking around.,A dog is watching a store counter.,1
824,1643,1644,A woman is slicing an onion.,A man is shown slicing a carrot with a knife.,0
825,1645,1646,The man drilled holes into the wood.,A man drills wood.,1
826,1647,1648,Someone is cutting a circle out of a pink sheet of paper.,Someone is pouring tomato sauce into a pot of meat.,0
827,1649,1650,A man is playing flute.,A man is petting a tied up dog.,0
828,1651,1652,A man is placing meat in a bag.,A man is drivong a car.,0
829,1653,1654,A girl is eating a cupcake.,A man is playing a trumpet.,0
830,1655,1656,A rabbit is sniffing and pawing a stuffed rabbit.,A live rabbit is playing with a stuffed animal bunny.,1
831,1657,1658,A man is buttering bread.,A woman is ridint a horse.,0
832,1659,1660,A woman is squeezing some cucumber slices.,A woman is getting doused in green slime.,0
833,1661,1662,A man is taking out the insides of a green pepper.,Someone is removing the seeds from a bell pepper.,1
834,1663,1664,"A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.apiece of pepperoni pizza out of the box.""","The man took apiece of pepperoni pizza out of the box.""",1
835,1665,1666,The man added vegetables to the broth in the pot.,A man is adding sliced vegetables to a cooking bowl with water.,1
836,1667,1668,The man ran and jumped against the wall.,A man jumps into a wall.,1
837,1669,1670,The man is seasoning the sausages.,The man added seasoning to water in a bowl.,1
838,1671,1672,A clown is singing and people are dancing.,A clown is singing.,1
839,1673,1674,A woman is feeding an aardvark.,A woman is chopping up garlic.,0
840,1675,1676,A person is rinsing a steak off with water.,A man is rinsing a large steak.,1
841,1677,1678,A boy rode his bike on top of a metal fence.,A BMX biker rides along the top of a fence.,1
842,1679,1680,A man is throwing knives at a tree.,A man is showing magic.,1
843,1681,1682,Girls are walking on the stage.,Women models are walking down a catwalk.,1
844,1683,1684,A woman is doing weight exercises.,A woman is exercising with a barbell.,1
845,1685,1686,A man is peeling a potato.,A man is hiking.,0
846,1687,1688,"A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.birdpicks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.""","A birdpicks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.""",1
847,1689,1690,A woman is in the rain.,A car is driving along the road.,0
848,1691,1692,A woman is hitting a man.,A man is holding a slow loris.,0
849,1693,1694,A woman is riding an elephant.,A man is lifting himself.,0
850,1695,1696,A man is lifting weights.,A woman is exercising her abs.,0
851,1697,1698,A person is riding a jetski in the waves.,A woman is riding a seadoo.,1
852,1699,1700,A woman is wearing headphones.,A woman is chopping some shiso leaves.,0
853,1701,1702,A kitten is eating its food from a plate.,A kitten eats some food.,1
854,1703,1704,A woman is reading a lifestyle magazine.,A woman is slicing a meat into pieces.,0
855,1705,1706,A man is pouring chili into a bowl.,A man opens a can and pours the contents into a bowl.,1
856,1707,1708,The bird ate the food in the tree from a bowl.,A bird is eating from a bowl.,1
857,1709,1710,A group of girls are exiting a taxi.,A video clip of Rihanna leaving a taxi.,0
858,1711,1712,A woman is seasoning a piece of meat.,A man is loading a rifle with bullets.,0
859,1713,1714,A man is chopping coriander leaf.,A man is playing a guitar.,0
860,1715,1716,A man takes a slice of pizza.,A man talks on his cell phone.,0
861,1717,1718,A man is placing meat inside a plastic bag.,A woman is carrying a wallaby in a bag.,0
862,1719,1720,A rabbi is talking.,A man is walking on a rope.,0
863,1721,1722,A man rides a horse.,A woman rubs a baby's leg.,0
864,1723,1724,A man is playing guitar.,Smeone is laying down.,0
865,1725,1726,A man is slicing a bun.,A man is breaking pots.,0
866,1727,1728,A man  is driving a car.,A woman dips a shrimp in batter.,0
867,1729,1730,A dog is pawing at a fly in the carpet before it.,The dog played with a bug on the carpet.,1
868,1731,1732,A dog is barking.,A jet is flying.,0
869,1733,1734,A monkey is walking on a bed.,A man is riding a horse.,0
870,1735,1736,A woman is cooking broccoli.,A man is eating his food.,0
871,1737,1738,A man is frying a tortilla.,A person is performing a card trick.,0
872,1739,1740,A woman serving volleyballs over a net.,One woman hands volleyballs to another woman who serves them.,1
873,1741,1742,A man is slicing cucumber with a knife.,A man is cooking a tortilla in a skillet.,0
874,1743,1744,A man is playing an electronic keyboard.,A band is playing instruments.,0
875,1745,1746,A man is playing a violin.,The baby is laughing and crawling.,0
876,1747,1748,A man severs the toe of an empty leather boot using a sword.,A man is cutting a boot with a sword.,1
877,1749,1750,The person is removing the scales from the fish.,A person is descaling a fish.,1
878,1751,1752,People are walking in the garden.,One boy is talking with other man.,0
879,1753,1754,A young child rides a horse.,The little girl rode a horse.,1
880,1755,1756,A person is cutting garlic into pieces with a knife.,Someone is putting ingredients into a wok.,0
881,1757,1758,A man is folding a piece of paper.,A man is slicing a plastic container with a sword.,0
882,1759,1760,The man was pushed into the water.,A man pushes another man into the ocean.,1
883,1761,1762,A boy is upset playing video games.,Someone is playing a gameboy.,1
884,1763,1764,A man makes a call on a cell phone.,A man is making a phone call.,1
885,1765,1766,A man is speaking on a phone.,A panda bear is chewing on a stick.,0
886,1767,1768,A woman is applying cosmetics to her face.,A woman is putting on makeup.,1
887,1769,1770,The man lifted barbells.,A man lifts weights.,1
888,1771,1772,A woman feeds an animal by hand.,The women are feeding the animal.,1
889,1773,1774,Several ferrets climb out of their cage.,Ferrets climb down from a shelf.,1
890,1775,1776,A young woman is playing the flute.,A woman is washing off the top of a freezer.,0
891,1777,1778,A woman shoots a shotgun.,The woman is shooting a rifle.,1
892,1779,1780,A person is adding chili powder to chili with beans.,The man is adding seasoning to the beans.,1
893,1781,1782,A woman rapidly fires a handgun.,A woman is shooting off a gun.,1
894,1783,1784,A person is slicing an onion.,A solenodon is walking along the ground.,0
895,1785,1786,A dog is opening a fridge.,A dog closes a refrigerator door.,0
896,1787,1788,A woman is holding a dancing baby up.,A woman is abusing her child.,0
897,1789,1790,A woman is doing a joker make up on a man.,The girl applied face makeup to a man.,1
898,1791,1792,The lady added cheese to the sauce.,A man pours a plate of shredded cheese into a pot of sauce.,0
899,1793,1794,A man is giving a lecture on a podium.,A man is delivering a lecture at an event celebrating the game of cricket.,1
900,1795,1796,The cat shimmied under the bed.,A cat is crawling upside down under the couch.,1
901,1797,1798,A woman is chopping garlic.,A woman slices a fish.,0
902,1799,1800,A man is cutting grass.,A masked man sings.,0
903,1801,1802,A man is cutting grass.,A clown is singing.,0
904,1803,1804,A boy runs away from his fishing line.,A boy is running in front of fish hanging on fishing rod.,1
905,1805,1806,The man played haki sak in the office.,The man is seasoning the vegetables.,0
906,1807,1808,A man is carrying another man on his back.,A man is taking pictures of ant.,0
907,1809,1810,Meat is dropped into a pan.,A woman is putting meat in a pan.,1
908,1811,1812,A woman is cutting scallions.,A woman falls on a sand castle.,0
909,1813,1814,A man is slam dunking a ball.,A woman is slicing some onions.,0
910,1815,1816,A machine is sharpening a pencil.,A girl is riding a bicycle.,0
911,1817,1818,A woman is brushing her feet.,The sun is rising behind trees.,0
912,1819,1820,A man is cleaning the windows.,A man is driving a car.,0
913,1821,1822,A person is stirring rice.,A woman is cracking an egg.,0
914,1823,1824,A man puts a knife in a vice.,A man is dancing.,0
915,1825,1826,A boy plays violin on stage.,A boy is onstage playing the violin.,1
916,1827,1828,A woman cuts a pink loaf with a knife.,A man is playing a guitar.,0
917,1829,1830,A man is adding pork chops to a pan.,A woman is peeling a potato.,0
918,1831,1832,The men are fighting each other.,The man drew on the white paper.,0
919,1833,1834,A man is catching a ball.,A cat is rubbing against a baby.,0
920,1835,1836,A girl is reading a newspaper.,A chef is peeling a potato.,0
921,1837,1838,A slow loris bites a persons fingers.,A small animal is chewing on a finger.,1
922,1839,1840,A man is walking along a path through wilderness.,A man is peeling an onion.,0
923,1841,1842,The man played his guitar.,A guy is singing while playing his guitar.,1
924,1843,1844,Some men are skating on the road.,Two boys are skate boarding.,1
925,1845,1846,A man pours liquid into a pan.,The chef poured oil in the pan.,1
926,1847,1848,A boy is playing piano and singing.,A pig is agitating a lion.,0
927,1849,1850,A cat and a ferret are playing.,A ferret and kitten play together.,1
928,1851,1852,A monkey is walking through the water.,A guy is playing a trumpet.,0
929,1853,1854,A woman is putting on makeup.,A band is singing.,0
930,1855,1856,A dog is driving a car.,A guy is talking into a microphone.,0
931,1857,1858,The man sang on stage into the microphone.,A man in a suit is standing at a microphone and singing.,1
932,1859,1860,A car backs out of a space.,A car is taking reverse.,1
933,1861,1862,A man is holding a frog.,A man is emptying a plastic container.,0
934,1863,1864,A man is traveling in a boat.,A woman is cutting up a carrot with a knife.,0
935,1865,1866,The man rode his motorcycle down the highway.,A person is driving a motorcycle on a road.,1
936,1867,1868,A man is dicing an onion.,The man is playing the guitar.,0
937,1869,1870,A man performs on a stage.,A man guts a fish.,1
938,1871,1872,The women are sitiing down.,Two women are sitting close to each other and talking.,1
939,1873,1874,A man removes a couple of toaster scrambles from a plastic packet.,A man removes food from a bag.,1
940,1875,1876,A woman is dancing by a fire.,A man ties a noose.,0
941,1877,1878,A man is meditating.,The man is riding the horse.,0
942,1879,1880,A boy is cutting paper.,A man is loading a rifle.,0
943,1881,1882,The man talked on the telephone.,Girls are walking on the stage.,0
944,1883,1884,A man is playing the guitar and singing.,A man is opening a package containing headphones.,0
945,1885,1886,the soccer player kicked the ball side to side between his legs.betweenhis feet.,A person is kicking a soccer ball back and forth betweenhis feet.,1
946,1887,1888,An animal is walking.,A woman is applying eye makeup.,0
947,1889,1890,Someone is scratching an animals belly.,A woman is stroking a lemur.,1
948,1891,1892,A man is lifting heavy weights.,A wallaby is licking a woman's hand.,0
949,1893,1894,A boy is playing with a toy.,A boy plays a handheld game.,1
950,1895,1896,A man dives off of a cliff.,A man is riding a motorcycle.,0
951,1897,1898,A man is coming out into the water.,A man rises from a swamp.,1
952,1899,1900,A man and woman dance.,A man is petting a dog.,0
953,1901,1902,A man is sweeping the floor of a house using a long broom.,The man swept the empty living room.,1
954,1903,1904,A group of couples are dancing.,Men and women are dancing slowly.,1
955,1905,1906,A man is scaling a fish.,A man pours some cooking oil into a pot.,0
956,1907,1908,The man set up his camera to take sunset pictures at the beach.,A man is taking pictures of a lake.,1
957,1909,1910,Someone is holding and petting a baby tiger.,Someone is rinsing a large beef steak at the kitchen sink.,0
958,1911,1912,The man is playing the guitar.,The cat cleaned his face with his paw.,0
959,1913,1914,The man did pushups on a wall.,The man tased the food.,0
960,1915,1916,A woman cuts up a vegetable.,A woman is slicing egg plant.,1
961,1917,1918,A person breaks an egg into a small bowl.,A man cracks an egg.,1
962,1919,1920,A man is playing keyboards.,A man is riding a mechanical bull.,0
963,1921,1922,A dog is running around a yard.,A black pet dog runs around in the garden of a house.,1
964,1923,1924,A child is walking down the street as a jeep pulls up.her.,A woman is walking along a road and a man in a motorcar pulls upbeside her.,1
965,1925,1926,A man is adding oil to a pot.,A dog is catching a fish in a river.,0
966,1927,1928,The girl danced in front of the bonfire.,A woman is dancing to music standing near a bonfire.,1
967,1929,1930,A man is chopping butter into a container.,A woman is cutting shrimps.,0
968,1931,1932,A girl is dragged downhill by a dog.,A dog is pulling a child down a hill.,1
969,1933,1934,The man took off his sunglasses while talking.,A man wearing a hard hat removes his glasses as he speaks.,1
970,1935,1936,The two men did a funny skit with a boxer in front of a crowd of people.,Boys are dancing in front of people.,1
971,1937,1938,The girl is tiding up her bed.,A woman is making a bed.,1
972,1939,1940,Someone is cooking onions.,A man is swinging nunchucks.,0
973,1941,1942,The man is using a sledghammer to break the concrete block that is on the other man.lying on a prone man with a sledge hammer.,A man breaks a slab of concrete thatis lying on a prone man with a sledge hammer.,1
974,1943,1944,The lady put the dried noodles in the hot water to cook.,A woman places a container of noodles in a pan of water.,1
975,1945,1946,The girls danced on the stage.,A girl is putting on makeup.,0
976,1947,1948,A panda bear is laying down.,A baby panda relaxes on some logs.,1
977,1949,1950,"Two kids are playing in a swimming pool with a green colored crocodile float.a pool.""","Two kids push an inflatable crocodile aroundin a pool.""",1
978,1951,1952,A couple of policewomen are singing karaoke.,Two women are dancing.,0
979,1953,1954,A man is putting broccoli into water.,A person is peeling a potato.,0
980,1955,1956,The doctor was helping the patient.,Doctors are trying to revive a man.,1
981,1957,1958,Someone is grating onion into water.,A person grates a potato into a bowl.,0
982,1959,1960,A baby is talking.,A boy is trying to say firetruck.,1
983,1961,1962,A woman boils eggs.,A woman places two eggs into a pot of water.,1
984,1963,1964,A woman puts ingredients in a whisked egg.,A man pours gasoline.,0
985,1965,1966,A woman is slicing mango.,A man is putting cheese on a tortilla.,0
986,1967,1968,A girl is slicing a butter into two pieces.,A woman is slicing tofu.,0
987,1969,1970,A man is playing the guitar.,A person is slicing a meat into pieces.,0
988,1971,1972,A man is opening a package containing headphones.,A woman is riding a horse.,0
989,1973,1974,A girl is playing a guitar.,A boy is playing a key-board between the people.,0
990,1975,1976,A little girl plays the violin on a beach.,The girl sat on the couch to crochet.,0
991,1977,1978,A monkey is karate kicking at someone's gloved hand.,A monkey pratices martial arts.,1
992,1979,1980,A female applies something to he hair with her hands.,A cat is eating a slice of watermelon.,0
